passengerid,survived,pclass,sex,age,sibsp,parch,fare,embarked
102,0,3,male,,0,0,7.8958,S
103,0,1,male,21.0,0,1,77.2875,S
104,0,3,male,33.0,0,0,8.6542,S
105,0,3,male,37.0,2,0,7.925,S
106,0,3,male,28.0,0,0,7.8958,S
107,1,3,female,21.0,0,0,7.65,S
108,1,3,male,,0,0,7.775,S
109,0,3,male,38.0,0,0,7.8958,S
110,1,3,female,,1,0,24.15,Q
111,0,1,male,47.0,0,0,52.0,S
112,0,3,female,14.5,1,0,14.4542,C
113,0,3,male,22.0,0,0,8.05,S
114,0,3,female,20.0,1,0,9.825,S
115,0,3,female,17.0,0,0,14.4583,C
116,0,3,male,21.0,0,0,7.925,S
117,0,3,male,70.5,0,0,7.75,Q
118,0,2,male,29.0,1,0,21.0,S
119,0,1,male,24.0,0,1,247.5208,C
120,0,3,female,2.0,4,2,31.275,S
121,0,2,male,21.0,2,0,73.5,S
122,0,3,male,,0,0,8.05,S
123,0,2,male,32.5,1,0,30.0708,C
124,1,2,female,32.5,0,0,13.0,S
125,0,1,male,54.0,0,1,77.2875,S
126,1,3,male,12.0,1,0,11.2417,C
127,0,3,male,,0,0,7.75,Q
128,1,3,male,24.0,0,0,7.1417,S
129,1,3,female,,1,1,22.3583,C
130,0,3,male,45.0,0,0,6.975,S
131,0,3,male,33.0,0,0,7.8958,C
132,0,3,male,20.0,0,0,7.05,S
133,0,3,female,47.0,1,0,14.5,S
134,1,2,female,29.0,1,0,26.0,S
135,0,2,male,25.0,0,0,13.0,S
136,0,2,male,23.0,0,0,15.0458,C
137,1,1,female,19.0,0,2,26.2833,S
138,0,1,male,37.0,1,0,53.1,S
139,0,3,male,16.0,0,0,9.2167,S
140,0,1,male,24.0,0,0,79.2,C
141,0,3,female,,0,2,15.2458,C
142,1,3,female,22.0,0,0,7.75,S
143,1,3,female,24.0,1,0,15.85,S
144,0,3,male,19.0,0,0,6.75,Q
145,0,2,male,18.0,0,0,11.5,S
146,0,2,male,19.0,1,1,36.75,S
147,1,3,male,27.0,0,0,7.7958,S
148,0,3,female,9.0,2,2,34.375,S
149,0,2,male,36.5,0,2,26.0,S
150,0,2,male,42.0,0,0,13.0,S
151,0,2,male,51.0,0,0,12.525,S
152,1,1,female,22.0,1,0,66.6,S
153,0,3,male,55.5,0,0,8.05,S
154,0,3,male,40.5,0,2,14.5,S
155,0,3,male,,0,0,7.3125,S
156,0,1,male,51.0,0,1,61.3792,C
157,1,3,female,16.0,0,0,7.7333,Q
158,0,3,male,30.0,0,0,8.05,S
159,0,3,male,,0,0,8.6625,S
160,0,3,male,,8,2,69.55,S
161,0,3,male,44.0,0,1,16.1,S
162,1,2,female,40.0,0,0,15.75,S
163,0,3,male,26.0,0,0,7.775,S
164,0,3,male,17.0,0,0,8.6625,S
165,0,3,male,1.0,4,1,39.6875,S
166,1,3,male,9.0,0,2,20.525,S
167,1,1,female,,0,1,55.0,S
168,0,3,female,45.0,1,4,27.9,S
169,0,1,male,,0,0,25.925,S
170,0,3,male,28.0,0,0,56.4958,S
171,0,1,male,61.0,0,0,33.5,S
172,0,3,male,4.0,4,1,29.125,Q
173,1,3,female,1.0,1,1,11.1333,S
174,0,3,male,21.0,0,0,7.925,S
175,0,1,male,56.0,0,0,30.6958,C
176,0,3,male,18.0,1,1,7.8542,S
177,0,3,male,,3,1,25.4667,S
178,0,1,female,50.0,0,0,28.7125,C
179,0,2,male,30.0,0,0,13.0,S
180,0,3,male,36.0,0,0,0.0,S
181,0,3,female,,8,2,69.55,S
182,0,2,male,,0,0,15.05,C
183,0,3,male,9.0,4,2,31.3875,S
184,1,2,male,1.0,2,1,39.0,S
185,1,3,female,4.0,0,2,22.025,S
186,0,1,male,,0,0,50.0,S
187,1,3,female,,1,0,15.5,Q
188,1,1,male,45.0,0,0,26.55,S
189,0,3,male,40.0,1,1,15.5,Q
190,0,3,male,36.0,0,0,7.8958,S
191,1,2,female,32.0,0,0,13.0,S
192,0,2,male,19.0,0,0,13.0,S
193,1,3,female,19.0,1,0,7.8542,S
194,1,2,male,3.0,1,1,26.0,S
195,1,1,female,44.0,0,0,27.7208,C
196,1,1,female,58.0,0,0,146.5208,C
197,0,3,male,,0,0,7.75,Q
198,0,3,male,42.0,0,1,8.4042,S
199,1,3,female,,0,0,7.75,Q
200,0,2,female,24.0,0,0,13.0,S
201,0,3,male,28.0,0,0,9.5,S
202,0,3,male,,8,2,69.55,S
203,0,3,male,34.0,0,0,6.4958,S
204,0,3,male,45.5,0,0,7.225,C
205,1,3,male,18.0,0,0,8.05,S
206,0,3,female,2.0,0,1,10.4625,S
207,0,3,male,32.0,1,0,15.85,S
208,1,3,male,26.0,0,0,18.7875,C
209,1,3,female,16.0,0,0,7.75,Q
210,1,1,male,40.0,0,0,31.0,C
211,0,3,male,24.0,0,0,7.05,S
212,1,2,female,35.0,0,0,21.0,S
213,0,3,male,22.0,0,0,7.25,S
214,0,2,male,30.0,0,0,13.0,S
215,0,3,male,,1,0,7.75,Q
216,1,1,female,31.0,1,0,113.275,C
217,1,3,female,27.0,0,0,7.925,S
218,0,2,male,42.0,1,0,27.0,S
219,1,1,female,32.0,0,0,76.2917,C
220,0,2,male,30.0,0,0,10.5,S
221,1,3,male,16.0,0,0,8.05,S
222,0,2,male,27.0,0,0,13.0,S
223,0,3,male,51.0,0,0,8.05,S
224,0,3,male,,0,0,7.8958,S
225,1,1,male,38.0,1,0,90.0,S
226,0,3,male,22.0,0,0,9.35,S
227,1,2,male,19.0,0,0,10.5,S
228,0,3,male,20.5,0,0,7.25,S
229,0,2,male,18.0,0,0,13.0,S
230,0,3,female,,3,1,25.4667,S
231,1,1,female,35.0,1,0,83.475,S
232,0,3,male,29.0,0,0,7.775,S
233,0,2,male,59.0,0,0,13.5,S
234,1,3,female,5.0,4,2,31.3875,S
235,0,2,male,24.0,0,0,10.5,S
236,0,3,female,,0,0,7.55,S
237,0,2,male,44.0,1,0,26.0,S
238,1,2,female,8.0,0,2,26.25,S
239,0,2,male,19.0,0,0,10.5,S
240,0,2,male,33.0,0,0,12.275,S
241,0,3,female,,1,0,14.4542,C
242,1,3,female,,1,0,15.5,Q
243,0,2,male,29.0,0,0,10.5,S
244,0,3,male,22.0,0,0,7.125,S
245,0,3,male,30.0,0,0,7.225,C
246,0,1,male,44.0,2,0,90.0,Q
247,0,3,female,25.0,0,0,7.775,S
248,1,2,female,24.0,0,2,14.5,S
249,1,1,male,37.0,1,1,52.5542,S
250,0,2,male,54.0,1,0,26.0,S
251,0,3,male,,0,0,7.25,S
252,0,3,female,29.0,1,1,10.4625,S
253,0,1,male,62.0,0,0,26.55,S
254,0,3,male,30.0,1,0,16.1,S
255,0,3,female,41.0,0,2,20.2125,S
256,1,3,female,29.0,0,2,15.2458,C
257,1,1,female,,0,0,79.2,C
258,1,1,female,30.0,0,0,86.5,S
259,1,1,female,35.0,0,0,512.3292,C
260,1,2,female,50.0,0,1,26.0,S
261,0,3,male,,0,0,7.75,Q
262,1,3,male,3.0,4,2,31.3875,S
263,0,1,male,52.0,1,1,79.65,S
264,0,1,male,40.0,0,0,0.0,S
265,0,3,female,,0,0,7.75,Q
266,0,2,male,36.0,0,0,10.5,S
267,0,3,male,16.0,4,1,39.6875,S
268,1,3,male,25.0,1,0,7.775,S
269,1,1,female,58.0,0,1,153.4625,S
270,1,1,female,35.0,0,0,135.6333,S
271,0,1,male,,0,0,31.0,S
272,1,3,male,25.0,0,0,0.0,S
273,1,2,female,41.0,0,1,19.5,S
274,0,1,male,37.0,0,1,29.7,C
275,1,3,female,,0,0,7.75,Q
276,1,1,female,63.0,1,0,77.9583,S
277,0,3,female,45.0,0,0,7.75,S
278,0,2,male,,0,0,0.0,S
279,0,3,male,7.0,4,1,29.125,Q
280,1,3,female,35.0,1,1,20.25,S
281,0,3,male,65.0,0,0,7.75,Q
282,0,3,male,28.0,0,0,7.8542,S
283,0,3,male,16.0,0,0,9.5,S
284,1,3,male,19.0,0,0,8.05,S
285,0,1,male,,0,0,26.0,S
286,0,3,male,33.0,0,0,8.6625,C
287,1,3,male,30.0,0,0,9.5,S
288,0,3,male,22.0,0,0,7.8958,S
289,1,2,male,42.0,0,0,13.0,S
290,1,3,female,22.0,0,0,7.75,Q
291,1,1,female,26.0,0,0,78.85,S
292,1,1,female,19.0,1,0,91.0792,C
293,0,2,male,36.0,0,0,12.875,C
294,0,3,female,24.0,0,0,8.85,S
295,0,3,male,24.0,0,0,7.8958,S
296,0,1,male,,0,0,27.7208,C
297,0,3,male,23.5,0,0,7.2292,C
298,0,1,female,2.0,1,2,151.55,S
299,1,1,male,,0,0,30.5,S
300,1,1,female,50.0,0,1,247.5208,C
301,1,3,female,,0,0,7.75,Q
302,1,3,male,,2,0,23.25,Q
303,0,3,male,19.0,0,0,0.0,S
304,1,2,female,,0,0,12.35,Q
305,0,3,male,,0,0,8.05,S
306,1,1,male,0.92,1,2,151.55,S
307,1,1,female,,0,0,110.8833,C
308,1,1,female,17.0,1,0,108.9,C
309,0,2,male,30.0,1,0,24.0,C
310,1,1,female,30.0,0,0,56.9292,C
311,1,1,female,24.0,0,0,83.1583,C
312,1,1,female,18.0,2,2,262.375,C
313,0,2,female,26.0,1,1,26.0,S
314,0,3,male,28.0,0,0,7.8958,S
315,0,2,male,43.0,1,1,26.25,S
316,1,3,female,26.0,0,0,7.8542,S
317,1,2,female,24.0,1,0,26.0,S
318,0,2,male,54.0,0,0,14.0,S
319,1,1,female,31.0,0,2,164.8667,S
320,1,1,female,40.0,1,1,134.5,C
321,0,3,male,22.0,0,0,7.25,S
322,0,3,male,27.0,0,0,7.8958,S
323,1,2,female,30.0,0,0,12.35,Q
324,1,2,female,22.0,1,1,29.0,S
325,0,3,male,,8,2,69.55,S
326,1,1,female,36.0,0,0,135.6333,C
327,0,3,male,61.0,0,0,6.2375,S
328,1,2,female,36.0,0,0,13.0,S
329,1,3,female,31.0,1,1,20.525,S
330,1,1,female,16.0,0,1,57.9792,C
331,1,3,female,,2,0,23.25,Q
332,0,1,male,45.5,0,0,28.5,S
333,0,1,male,38.0,0,1,153.4625,S
334,0,3,male,16.0,2,0,18.0,S
335,1,1,female,,1,0,133.65,S
336,0,3,male,,0,0,7.8958,S
337,0,1,male,29.0,1,0,66.6,S
338,1,1,female,41.0,0,0,134.5,C
339,1,3,male,45.0,0,0,8.05,S
340,0,1,male,45.0,0,0,35.5,S
341,1,2,male,2.0,1,1,26.0,S
342,1,1,female,24.0,3,2,263.0,S
343,0,2,male,28.0,0,0,13.0,S
344,0,2,male,25.0,0,0,13.0,S
345,0,2,male,36.0,0,0,13.0,S
346,1,2,female,24.0,0,0,13.0,S
347,1,2,female,40.0,0,0,13.0,S
348,1,3,female,,1,0,16.1,S
349,1,3,male,3.0,1,1,15.9,S
350,0,3,male,42.0,0,0,8.6625,S
351,0,3,male,23.0,0,0,9.225,S
352,0,1,male,,0,0,35.0,S
353,0,3,male,15.0,1,1,7.2292,C
354,0,3,male,25.0,1,0,17.8,S
355,0,3,male,,0,0,7.225,C
356,0,3,male,28.0,0,0,9.5,S
357,1,1,female,22.0,0,1,55.0,S
358,0,2,female,38.0,0,0,13.0,S
359,1,3,female,,0,0,7.8792,Q
360,1,3,female,,0,0,7.8792,Q
361,0,3,male,40.0,1,4,27.9,S
362,0,2,male,29.0,1,0,27.7208,C
363,0,3,female,45.0,0,1,14.4542,C
364,0,3,male,35.0,0,0,7.05,S
365,0,3,male,,1,0,15.5,Q
366,0,3,male,30.0,0,0,7.25,S
367,1,1,female,60.0,1,0,75.25,C
368,1,3,female,,0,0,7.2292,C
369,1,3,female,,0,0,7.75,Q
370,1,1,female,24.0,0,0,69.3,C
371,1,1,male,25.0,1,0,55.4417,C
372,0,3,male,18.0,1,0,6.4958,S
373,0,3,male,19.0,0,0,8.05,S
374,0,1,male,22.0,0,0,135.6333,C
375,0,3,female,3.0,3,1,21.075,S
376,1,1,female,,1,0,82.1708,C
377,1,3,female,22.0,0,0,7.25,S
378,0,1,male,27.0,0,2,211.5,C
379,0,3,male,20.0,0,0,4.0125,C
380,0,3,male,19.0,0,0,7.775,S
381,1,1,female,42.0,0,0,227.525,C
382,1,3,female,1.0,0,2,15.7417,C
383,0,3,male,32.0,0,0,7.925,S
384,1,1,female,35.0,1,0,52.0,S
385,0,3,male,,0,0,7.8958,S
386,0,2,male,18.0,0,0,73.5,S
387,0,3,male,1.0,5,2,46.9,S
388,1,2,female,36.0,0,0,13.0,S
389,0,3,male,,0,0,7.7292,Q
390,1,2,female,17.0,0,0,12.0,C
391,1,1,male,36.0,1,2,120.0,S
392,1,3,male,21.0,0,0,7.7958,S
393,0,3,male,28.0,2,0,7.925,S
394,1,1,female,23.0,1,0,113.275,C
395,1,3,female,24.0,0,2,16.7,S
396,0,3,male,22.0,0,0,7.7958,S
397,0,3,female,31.0,0,0,7.8542,S
398,0,2,male,46.0,0,0,26.0,S
399,0,2,male,23.0,0,0,10.5,S
400,1,2,female,28.0,0,0,12.65,S
